,geoid10,score10,se10
42961,36005000200,0.42051044,0.017681323
42962,36005000400,0.40599281,0.020621901
42963,36005001600,0.4086968,0.012577487
42964,36005001900,0.33781171,0.02068376
42965,36005002000,0.34437332,0.0087374104
42966,36005002300,0.33425212,0.011375563
42968,36005002500,0.35454684,0.011387068
42969,36005002701,0.31635746,0.013343293
42970,36005002702,0.35164121,0.012342719
42971,36005002800,0.3736479,0.012233335
42972,36005003100,0.3995032,0.023038056
42973,36005003300,0.33551401,0.012608962
42974,36005003500,0.39000627,0.013768152
42975,36005003700,0.30025655,0.041941024
42976,36005003800,0.38596779,0.026925987
42977,36005003900,0.36636481,0.011737131
42978,36005004001,0.46598771,0.031359792
42979,36005004100,0.3460834,0.010430975
42980,36005004200,0.36349785,0.010113283
42981,36005004300,0.37155798,0.01246318
42982,36005004400,0.37240621,0.01192987
42983,36005004600,0.35743466,0.027303623
42984,36005004800,0.38369355,0.012699472
42985,36005005001,0.35489154,0.011529719
42986,36005005002,0.39084318,0.011298905
42987,36005005100,0.32923657,0.0094384551
42988,36005005200,0.36804754,0.016079731
42989,36005005300,0.35531697,0.011336234
42990,36005005400,0.39886862,0.011579396
42991,36005005600,0.39122254,0.016483216
42992,36005005902,0.38131338,0.016812775
42993,36005006000,0.35236299,0.023783537
42994,36005006100,0.36531556,0.020927167
42995,36005006200,0.3307249,0.0090344138
42996,36005006300,0.39588076,0.011514273
42997,36005006400,0.4033787,0.015387828
42998,36005006500,0.38001299,0.012646571
42999,36005006700,0.33804867,0.0082903877
43000,36005006800,0.3915371,0.01685014
43001,36005006900,0.33956286,0.011370298
43002,36005007000,0.41260606,0.01679614
43003,36005007100,0.33787516,0.018463098
43004,36005007200,0.42812696,0.01317419
43005,36005007300,0.36587462,0.012889698
43006,36005007400,0.4386425,0.019801145
43007,36005007500,0.37372342,0.012276639
43008,36005007600,0.42702836,0.014323229
43009,36005007700,0.3474713,0.021824297
43010,36005007800,0.4157055,0.012873816
43011,36005007900,0.36045188,0.01005926
43012,36005008300,0.36500624,0.010002634
43013,36005008400,0.43382993,0.026331849
43014,36005008500,0.38933614,0.011746316
43015,36005008600,0.3572717,0.012453347
43016,36005008700,0.40277654,0.011474421
43017,36005008900,0.37032923,0.015450318
43018,36005009000,0.37761658,0.014579202
43019,36005009200,0.43232125,0.014762722
43020,36005009300,0.36475393,0.010631601
43021,36005009600,0.41796929,0.027030267
43022,36005009800,0.4272095,0.015360872
43024,36005011502,0.35377157,0.012713035
43025,36005011700,0.35858276,0.021542447
43026,36005011800,0.60982579,0.03484372
43027,36005011900,0.34845027,0.011288917
43028,36005012101,0.38327062,0.016118849
43029,36005012102,0.32872185,0.014985956
43030,36005012300,0.38644406,0.015015231
43031,36005012500,0.35005119,0.019548571
43032,36005012701,0.35763973,0.019079449
43033,36005012901,0.34470275,0.016981522
43034,36005013000,0.52592516,0.064625539
43035,36005013100,0.35558051,0.014303507
43036,36005013200,0.4925673,0.028024888
43037,36005013300,0.3673014,0.010164921
43038,36005013500,0.31805894,0.012724105
43039,36005013800,0.4608528,0.033240743
43040,36005014100,0.3222951,0.014138899
43041,36005014300,0.28928241,0.025614638
43042,36005014400,0.36195996,0.011999197
43043,36005014500,0.31586194,0.0097784912
43044,36005014701,0.32943928,0.0084677394
43045,36005014702,0.30888036,0.0090756621
43046,36005014900,0.34070155,0.012437049
43047,36005015100,0.34510309,0.011727627
43048,36005015200,0.52600509,0.036290627
